id,district,registered_voters,valid_votes ,invalid_votes ,total_votes ,museveni,amuriat,kabuleta,kalembe,katumba,kyagulanyi,mao,mayambala,muntu,mwesigye,tumukunde,winner
110,NWOYA,57186,25140,1552,26692,13910,809,327,396,192,5732,2570,126,361,450,267,yoweri
111,AGAGO,98354,63961,2572,66533,47696,1595,337,299,202,10559,1834,243,407,356,433,yoweri
112,RUBIRIZI,73848,48057,1306,49363,39686,490,178,78,224,6338,79,24,515,85,360,yoweri
113,KAGADI,175680,108614,5037,113651,88830,840,1129,181,265,15758,105,51,442,614,399,yoweri
114,KAKUMIRO,140691,86100,3347,89447,73132,305,690,89,166,10903,77,30,304,83,321,yoweri
115,OMORO,72216,34445,2557,37002,20902,1019,765,532,215,7169,2805,201,409,197,231,yoweri
116,RUBANDA,111615,77167,1889,79056,67263,1908,112,183,553,5735,104,35,635,122,517,yoweri
117,ARUA,92440,56257,1636,57893,44435,432,144,222,254,9816,56,33,553,108,204,yoweri
118,BUTEBO,51443,35823,912,36735,23532,737,108,92,120,10890,52,12,75,91,114,yoweri
119,KYOTERA,124872,75776,2279,78055,25598,183,46,124,131,49132,210,25,151,74,102,kyagulanyi
120,NAMISINDWA,97191,55324,3351,58675,40563,791,91,122,81,12780,61,67,100,530,138,yoweri
121,PAKWACH,78801,48169,0,48169,32354,1557,163,242,117,12576,261,220,205,162,312,yoweri
122,RUKIGA,60965,38212,1583,39795,31251,1630,81,162,234,3959,34,30,390,113,328,yoweri
123,BUGWERI,84953,45046,2018,47064,17428,563,294,298,94,25939,79,29,153,47,122,kyagulanyi
124,KAPELEBYONG,39629,25776,1652,27428,17529,6121,174,141,38,1387,68,37,77,85,119,yoweri
125,KASSANDA,134798,83374,3490,86864,37265,183,77,78,133,44990,142,23,178,112,193,kyagulanyi
126,KIKUUBE,112825,63840,3246,67086,49490,360,2210,133,124,10771,72,22,271,115,272,yoweri
127,KWANIA,87587,53182,2820,56002,36364,992,393,319,238,13041,318,148,368,322,679,yoweri
128,NABILATUK,21367,16395,536,16931,16038,15,3,3,3,272,7,6,2,8,38,yoweri
129,KALAKI,53973,34415,1563,35978,24556,4794,195,193,81,3839,136,287,121,73,140,yoweri
130,KARENGA,18035,14157,673,14830,12819,107,75,37,32,751,49,54,30,25,178,yoweri
131,KAZO,92843,74503,1078,75581,73043,157,24,20,53,879,13,2,231,20,61,yoweri
132,KITAGWENDA,76037,46670,1191,47861,40417,459,67,178,113,4488,54,19,617,87,171,yoweri
133,MADI,63404,37084,2414,39498,25779,722,384,348,273,7611,241,116,534,178,898,yoweri
134,OBONGI,19321,11999,884,12883,7676,1102,121,39,37,2769,56,7,53,53,86,yoweri
135,RWAMPARA,70346,41453,747,42200,35981,679,50,84,215,3710,37,17,539,39,102,yoweri
136,ARUA,170066,73323,4645,77968,39566,1107,705,522,348,28493,772,151,563,233,863,yoweri
137,GULU,103401,32964,1952,34916,14603,2159,209,231,163,7290,7811,47,163,139,149,yoweri
138,JINJA,154750,68295,2750,71045,21202,1512,133,694,221,43920,173,36,276,43,85,kyagulanyi
139,FORT,65163,36352,1424,37776,25753,443,208,156,316,8440,45,15,828,52,96,yoweri
140,MBARARA,114511,53418,1656,55074,36466,1428,116,114,513,12662,65,34,1581,53,386,yoweri
141,MASAKA,122339,69248,1543,70791,14992,212,25,43,131,53444,204,10,105,36,46,kyagulanyi
142,MBALE,147774,75369,3128,78497,29717,2037,117,249,239,42267,173,48,147,193,182,kyagulanyi
143,TEREGO,95118,48360,4497,52857,24718,1344,580,484,965,16720,705,243,1329,458,814,yoweri
144,LIRA,111772,52214,2140,54354,30271,1523,453,496,326,17495,578,108,359,219,386,yoweri
145,HOIMA,62018,34609,1450,36059,19751,292,2285,69,109,11662,51,14,261,32,83,yoweri
146,SOROTI,56019,30375,1252,31627,12031,13200,158,123,79,3984,95,94,115,44,452,amuriat
